Model,Accuracy,F1 macro
SpectralGAN + Transformer ←,0.8571428571428571,0.8379629629629629
SVM (linear),0.6666666666666666,0.6797385620915034
SVM (rbf),0.6190476190476191,0.6416666666666667
KNN (k=3),0.47619047619047616,0.4788914788914789
KNN (k=5),0.38095238095238093,0.39057239057239057
SVM (poly),0.14285714285714285,0.15
